x links relative-file => "See [docs](https://github.com/earendil-works/pi/blob/v1.2.3/packages/coding-agent/docs/guide.md) and [code](https://github.com/earendil-works/pi/blob/v1.2.3/packages/coding-agent/src/x.ts)."
x links dir-target => "See [dir](https://github.com/earendil-works/pi/tree/v1.2.3/packages/coding-agent/src/modes) and [trail](https://github.com/earendil-works/pi/tree/v1.2.3/packages/coding-agent/src/modes/)."
x links absolute => "[abs](https://github.com/earendil-works/pi/blob/v1.2.3/packages/coding-agent/src/a.ts)"
x links floating-ref => "[m](https://github.com/earendil-works/pi/blob/v2.0.0/packages/coding-agent/src/a.ts)"
x links legacy-repo => "[m](https://github.com/earendil-works/pi/blob/v2.0.0/x.md)"
x links external => "[e](https://example.com/a) [h](#section) [p](//cdn/x.js) [m](mailto:a@b.c)"
x links escape => "[e](https://github.com/earendil-works/pi/tree/v1.0.0/packages/coding-agent/docs/a b.md) and [i](https://github.com/earendil-works/pi/blob/v1.0.0/packages/coding-agent/img/a.png)"
x links traversal => "[t](https://github.com/earendil-works/pi/blob/v1.0.0/outside.md)"
x links v-prefix => "[x](https://github.com/earendil-works/pi/blob/v9.9.9/packages/coding-agent/docs/a.md)"
x changelog entries => [{"major":1,"minor":2,"patch":0,"content":"## [1.2.0] - 2026-01-01\n\n- First change\n- Second change"},{"major":1,"minor":1,"patch":0,"content":"## 1.1.0 - 2025-12-01\n\nFix stuff."},{"major":1,"minor":0,"patch":0,"content":"## [1.0.0] - 2025-01-01\n\nInitial."}]
x changelog new => [{"major":1,"minor":2,"patch":0,"content":"## [1.2.0] - 2026-01-01\n\n- First change\n- Second change"}]
x changelog compare => [1,0,-1]
x changelog missing => []
x footer repo branch => "feature/x"
x footer repo statuses => [["k","v"]]
x footer repo count => 3
x footer repo cleared => []
x footer repo changes => [1,null]
x footer detached branch => "detached"
x footer detached statuses => [["k","v"]]
x footer detached count => 3
x footer detached cleared => []
x footer detached changes => [1,null]
x footer plain branch => null
x footer plain statuses => [["k","v"]]
x footer plain count => 3
x footer plain cleared => []
x footer plain changes => [0,null]
